date,open,high,low,close,volume,Volume
1980/12/12,0.128347993,0.128905997,0.128347993,0.128347993,0.098834462,469033600
1980/12/15,0.122210003,0.122210003,0.121652,0.121652,0.093678229,175884800
1980/12/16,0.113280997,0.113280997,0.112723,0.112723,0.086802453,105728000
1980/12/17,0.115512997,0.116071001,0.115512997,0.115512997,0.088950872,86441600
1980/12/18,0.118862003,0.119419999,0.118862003,0.118862003,0.091529809,73449600
1980/12/19,0.126115993,0.126673996,0.126115993,0.126115993,0.097115703,48630400
1980/12/22,0.132254004,0.132813007,0.132254004,0.132254004,0.101842336,37363200
1980/12/23,0.137834996,0.138393,0.137834996,0.137834996,0.106139943,46950400
1980/12/24,0.145089,0.145647004,0.145089,0.145089,0.111725874,48003200
1980/12/26,0.158482,0.159040004,0.158482,0.158482,0.122039221,55574400
1980/12/29,0.160714,0.161272004,0.160714,0.160714,0.123757958,93161600
1980/12/30,0.157365993,0.157365993,0.156808004,0.156808004,0.120750144,68880000
1980/12/31,0.152902007,0.152902007,0.152344003,0.152344003,0.117312647,35750400
1981/1/2,0.154018,0.155134007,0.154018,0.154018,0.118601643,21660800
1981/1/5,0.151227996,0.151227996,0.150670007,0.150670007,0.116023578,35728000
1981/1/6,0.144530997,0.144530997,0.143972993,0.143972993,0.110866524,45158400
1981/1/7,0.138393,0.138393,0.137834996,0.137834996,0.106139943,55686400
1981/1/8,0.135602996,0.135602996,0.135045007,0.135045007,0.103991501,39827200
1981/1/9,0.142298996,0.142857,0.142298996,0.142298996,0.109577447,21504000
1981/1/12,0.142298996,0.142298996,0.141183004,0.141183004,0.10871806,23699200
1981/1/13,0.136719003,0.136719003,0.136161,0.136161,0.104850888,23049600
1981/1/14,0.136719003,0.137277007,0.136719003,0.136719003,0.1052806,14291200
1981/1/15,0.139509007,0.140625,0.139509007,0.139509007,0.10742905,14067200
1981/1/16,0.138951004,0.138951004,0.138393,0.138393,0.10656964,13395200
1981/1/19,0.146762997,0.147321001,0.146762997,0.146762997,0.113014959,41574400
1981/1/20,0.142857,0.142857,0.142298996,0.142298996,0.109577447,30083200
1981/1/21,0.145089,0.146204993,0.145089,0.145089,0.111725874,15904000
1981/1/22,0.146762997,0.147879004,0.146762997,0.146762997,0.113014959,35548800
1981/1/23,0.146762997,0.147321001,0.146204993,0.146204993,0.112585306,11222400
1981/1/26,0.144530997,0.144530997,0.143972993,0.143972993,0.110866524,24640000
1981/1/27,0.143972993,0.143972993,0.142857,0.142857,0.110007137,23699200
1981/1/28,0.138951004,0.138951004,0.138393,0.138393,0.10656964,28156800
1981/1/29,0.133928999,0.133928999,0.133370996,0.133370996,0.102702446,43904000
1981/1/30,0.127232,0.127232,0.126115993,0.126115993,0.097115703,46188800
1981/2/2,0.119419999,0.119419999,0.118862003,0.118862003,0.091529809,23766400
1981/2/3,0.123326004,0.123884,0.123326004,0.123326004,0.094967276,19152000
1981/2/4,0.127790004,0.128347993,0.127790004,0.127790004,0.09840481,27865600
1981/2/5,0.127790004,0.128905997,0.127790004,0.127790004,0.09840481,7929600
1981/2/6,0.128347993,0.128905997,0.128347993,0.128347993,0.098834462,13865600
1981/2/9,0.122768,0.122768,0.121652,0.121652,0.093678229,16755200
1981/2/10,0.121652,0.122210003,0.121652,0.121652,0.093678229,18345600
1981/2/11,0.118303999,0.118303999,0.117746003,0.117746003,0.090670377,13843200
1981/2/12,0.117187999,0.117187999,0.116628997,0.116628997,0.08981026,14560000
